Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2019,3,25-64 yr,0,0,78,540,32,1,5,0,0
2019,4,25-64 yr,0,0,106,539,39,7,3,3,0
2019,5,25-64 yr,0,0,186,618,29,9,3,1,0
2019,6,25-64 yr,0,0,261,771,19,7,2,3,0
2019,7,25-64 yr,0,1,277,670,22,5,4,3,0
2019,8,25-64 yr,0,0,366,590,18,6,6,13,0
2019,9,25-64 yr,0,0,424,527,22,7,2,7,0
2019,10,25-64 yr,0,0,432,521,22,10,10,10,0
2019,11,25-64 yr,0,0,472,452,17,7,11,7,0
2019,12,25-64 yr,0,0,384,314,7,10,8,16,0
2019,13,25-64 yr,0,0,269,205,11,13,9,12,0
2019,14,25-64 yr,0,0,189,132,8,18,9,16,0
2019,15,25-64 yr,0,0,142,84,3,19,5,17,0
2019,16,25-64 yr,0,0,76,62,2,14,8,3,0
2019,17,25-64 yr,0,0,43,42,2,10,3,9,0
2019,18,25-64 yr,0,0,44,31,1,9,6,7,0
2019,19,25-64 yr,0,0,29,18,3,10,2,5,0
2019,20,25-64 yr,0,0,26,20,0,9,5,2,0
2019,21,25-64 yr,0,0,19,10,0,4,1,1,0
2019,22,25-64 yr,0,0,16,10,2,8,1,9,0
2019,23,25-64 yr,0,0,21,9,2,12,0,6,0
2019,24,25-64 yr,0,0,15,7,2,5,1,1,0
2019,25,25-64 yr,0,0,16,6,1,5,0,1,0
2019,26,25-64 yr,0,0,14,6,2,5,1,1,0
2019,27,25-64 yr,0,0,9,17,3,7,0,2,0
2019,28,25-64 yr,0,0,14,1,0,3,1,1,0
2019,29,25-64 yr,0,0,9,4,1,2,0,0,0
2019,30,25-64 yr,0,0,7,5,1,2,0,3,0
2019,31,25-64 yr,0,0,5,6,0,4,0,0,0
2019,32,25-64 yr,0,0,6,3,0,5,0,0,0
2019,33,25-64 yr,0,0,4,7,1,5,0,0,0
2019,34,25-64 yr,0,0,9,10,1,5,0,1,0
2019,35,25-64 yr,0,0,11,6,2,3,0,1,0
2019,36,25-64 yr,0,0,15,5,2,4,0,0,0
2019,37,25-64 yr,0,0,21,5,2,7,1,0,0
2019,38,25-64 yr,0,0,23,10,1,5,0,0,0
